product_id,avg_rating,review_count,product_title,category,product_parent
B00ZZ0VPBS,5.00,54,CITI ULTRA Series - PREMIUM HDMI CABLE HIGH SPEED 50 FEET [15 M] Black Nylon Brading with 24k Gold Plated,Electronics,552374579
B00ZZ0VSJC,5.00,51,CITI - PREMIUM 25FT 3.5mm Stereo Male to 2RCA Male Audio AUX Cable 25 FEET - Gold Plated [ iPhone iPad iPod MP3 Smartphones],Electronics,181108862
B003L150R8,4.96,52,TETC Cable (3 Feet) - Optical Digital Audio Cable,Electronics,601465819
B00EQG0CI4,4.94,53,"Logitech L-LU18 Battery Replacement (1250mAh, 3.7V, Lithium-Ion) - Compatible with 190582-0001, F12440056, Harmony 915, Harmony 1000, Harmony 1100, Harmony 1100i, K398, L-LU18",Electronics,874721408
B005LR04WQ,4.93,92,"Panasonic N2QAYB000485 Remote Control Compatible with select Panasonic Models, Black",Electronics,978629796
B005T3LKKM,4.93,136,"Mediabridge FLEX Series HDMI Cable - High-Speed Supports 4K, Ethernet, 3D and Audio Return [Newest Standard]",Electronics,55512733
B00CELMZG0,4.93,195,Underwater Audio Waterproof iPod Mega Bundle,Electronics,249114333
B00SAM93YO,4.93,73,"Waterproof Bluetooth Speaker IPX7 Grade by Tech Acoustics, For Shower Radio And Outdoor Use",Electronics,96838953
B0043GGDGC,4.93,57,"1800mAh Battery Pack for Tivoli Audio PAL iPAL Radio (fits MA-1, MA-2, MA-3)",Electronics,836590591
B00EPDMDZ8,4.93,55,KEF LS50 Mini Monitor - High Gloss Piano Black (Pair),Electronics,438955095
B0040QW7KQ,4.93,68,Klipsch RC-52 II Reference Series Center Channel Loudspeaker - Each (Black),Electronics,15529016
B0016MMYKA,4.92,78,Beyerdynamic Headphone Ear Pads Silver,Electronics,779874185
B005DNS2KY,4.92,104,Sharp Remote Control RRMCGA935WJSA,Electronics,858781819
B00DI8A1NW,4.92,62,KabelDirekt 231 3-Feet HDMI Cable - PRO Series,Electronics,291298445
B0032XEED6,4.92,73,SAMSUNG BP07-00029A LED DISPLAY PHLAT LI OEM Original Part,Electronics,664164429
B004Z2H07K,4.91,111,"GLS Audio 3 feet Speaker Cable 12AWG Patch Cords - 3 ft 1/4"" to 1/4"" Professional Speaker Cables Black 12 Gauge Wire - Pro 3' Phono 6.3mm Cord 12G - Single",Electronics,510204127
B0034E2TFS,4.91,76,HIGH QUALITY AC POWER TRAVEL ADAPTER PLUG FOR INDIA and more / WITH DUAL PLUG-IN PORTS AND SURGE PROTECTION / GROUNDED,Electronics,794831696
B00AJHCRCI,4.91,118,Monoprice Multimedia Desktop Stand,Electronics,392431852
B007IWKX14,4.90,80,Fluance XL7F High Performance Three-way Floorstanding Loudspeakers,Electronics,770525553
B002VY53QE,4.89,76,StarTech.com 3 ft Power Extension Cord - NEMA 5-15R to NEMA 5-15P - 16 AWG Power Extension Cable Cord - 125 Volts at 13 Amps - SJT - 3ft,Electronics,751406910
